36,3,20.06,-537596
36,4,25,-553205
36,5,30,-568154
36,6,34.94,-582058
36,7,39.88,-595303
36,8,44.88,-607818
36,9,49.88,-619580
36,10,54.88,-630735
36,11,59.81,-641209
36,12,64.81,-651134
36,13,69.81,-660471
36,14,74.94,-669377
37,0,5.31,62117
37,1,10.28,46101
37,2,15.25,30885
37,3,20.25,16476
37,4,25.19,3003
37,5,30.19,-9848
37,6,35.13,-21883
37,7,40.03,-33305
37,8,45.03,-44064
37,9,50.03,-54196
37,10,55.03,-63778
37,11,60,-72755
37,12,65,-81176
37,13,70.03,-89072
37,14,75.09,-96551
38,0,5.31,-110800
38,1,10.28,-128088
38,2,15.25,-144379
38,3,20.25,-159851
38,4,25.19,-174350
38,5,30.19,-188148
38,6,35.13,-201010
38,7,40.03,-213226
38,8,45.03,-224838
38,9,50.03,-235767
38,10,55.03,-246106
38,11,60,-255778
38,12,65,-264912
38,13,70.03,-273513
38,14,75.09,-281621
39,0,5.31,359649
39,1,10.28,343966
39,2,15.25,329087
39,3,20.25,315026
39,4,25.19,301812
39,5,30.19,289218
39,6,35.13,277533
39,7,40.03,266430
39,8,45.03,255997
39,9,50.03,246241
39,10,55.03,236999
39,11,60,228369
39,12,65,220240
39,13,70.03,212640
39,14,75.09,205534
40,0,5.31,206944
40,1,10.28,190570
40,2,15.25,175040
40,3,20.25,160385
40,4,25.19,146637
40,5,30.19,133532
40,6,35.13,121372
40,7,40.03,109794
40,8,45.03,98941
40,9,50.03,88672
40,10,55.03,79012
40,11,60,69966
40,12,65,61410
40,13,70.03,53698
40,14,75.09,45833
41,0,5.31,-441694
41,1,10.28,-459834
41,2,15.25,-477176
41,3,20.25,-493614
41,4,25.19,-509076
41,5,30.19,-523881
41,6,35.13,-537711
41,7,40.03,-550943
41,8,45.03,-563518
41,9,50.03,-575366
41,10,55.03,-586629
41,11,60,-597238
41,12,65,-607230
41,13,70.03,-616649
41,14,75.09,-625614
42,0,5.31,405536
42,1,10.28,389984
42,2,15.25,375313
42,3,20.25,361420
42,4,25.19,348394
42,5,30.19,335972
42,6,35.13,324448
42,7,40.03,313416
42,8,45.03,303028
42,9,50.03,293258
42,10,55.03,284022
42,11,60,275468
42,12,65,267343
42,13,70.03,259769
42,14,75.09,252573
43,0,5.31,556281
43,1,10.28,541188
43,2,15.25,526989
43,3,20.25,513559
43,4,25.19,500950
43,5,30.19,488991
43,6,35.13,477854
43,7,40.03,467295
43,8,45.03,457441
43,9,50.03,448184
43,10,55.03,439493
43,11,60,431317
43,12,65,423695
43,13,70.03,416549
43,14,75.09,409816
44,0,5.31,223466
44,1,10.28,207780
44,2,15.25,192941
44,3,20.25,178895
44,4,25.19,165716
44,5,30.19,153219
44,6,35.13,141547
44,7,40.03,130527
44,8,45.03,120122
44,9,50.03,110355
44,10,55.03,101149
44,11,60,92497
44,12,65,84376
44,13,70.03,76773
44,14,75.09,69579
45,0,5.5,166174
45,1,10.44,149968
45,2,15.44,134515
45,3,20.44,119951
45,4,25.38,106242
45,5,30.38,93188
45,6,35.31,81012
45,7,40.19,69197
45,8,45.19,58565
45,9,50.19,48293
45,10,55.19,38658
45,11,60.19,29574
45,12,65.19,21023
45,13,70.25,13070
45,14,75.25,5548
46,0,5.5,-266336
46,1,10.44,-284982
46,2,15.44,-302591
46,3,20.44,-319266
46,4,25.38,-334950
46,5,30.38,-349872
46,6,35.31,-363856
46,7,40.19,-377264
46,8,45.19,-389925
46,9,50.19,-401903
46,10,55.19,-413235
46,11,60.19,-423933
46,12,65.19,-434057
46,13,70.25,-443561
46,14,75.25,-452542
47,0,5.5,134332
47,1,10.44,118160
47,2,15.44,102975
47,3,20.44,88594
47,4,25.38,75163
47,5,30.38,62481
47,6,35.31,50623
47,7,40.19,39387
47,8,45.19,28812
47,9,50.19,18805
47,10,55.19,9445
47,11,60.19,631
47,12,65.19,-7647
47,13,70.25,-15356
47,14,75.25,-22637
48,0,5.5,224206
48,1,10.44,208201
48,2,15.44,193089
48,3,20.44,178760
48,4,25.38,165356
48,5,30.38,152601
48,6,35.31,140764
48,7,40.19,129557
48,8,45.19,118988
48,9,50.19,109081
48,10,55.19,99734
48,11,60.19,90947
48,12,65.19,82702
48,13,70.25,74971
48,14,75.25,67621
49,0,5.06,-329892
49,1,10,-347674
49,2,15.06,-364704
49,3,20.06,-380819
49,4,25,-396018
49,5,30,-410524
49,6,35,-424106
49,7,39.94,-437021
49,8,44.94,-449282
49,9,49.94,-460893
49,10,55,-471820
49,11,60,-482111
49,12,65.06,-491846
49,13,70.13,-500959
49,14,75.19,-509630
50,0,5.06,-115744
50,1,10,-133473
50,2,15.06,-150210
50,3,20.06,-166036
50,4,25,-180898
50,5,30,-195125
50,6,35,-208462
50,7,39.94,-221082
50,8,44.94,-233097
50,9,49.94,-244372
50,10,55,-255035
50,11,60,-265091
50,12,65.06,-274600
50,13,70.13,-283516
50,14,75.19,-291900
51,0,5.06,-411806
51,1,10,-429644
51,2,15.06,-446570
51,3,20.06,-462600
51,4,25,-477651
51,5,30,-492009
51,6,35,-505364
51,7,39.94,-518028
51,8,44.94,-530123
51,9,49.94,-541560
51,10,55,-552374
51,11,60,-562564
51,12,65.06,-572160
51,13,70.13,-581246
51,14,75.19,-589804
52,0,5.06,248793
52,1,10,232846
52,2,15.06,217820
52,3,20.06,203619
52,4,25,190312
52,5,30,177632
52,6,35,165846
52,7,39.94,154717
52,8,44.94,144205
52,9,49.94,134369
52,10,55,125090
52,11,60,116410
52,12,65.06,108225
52,13,70.13,100567
52,14,75.19,93347
53,0,5.22,-62974
53,1,10.22,-79650
53,2,15.22,-95523
53,3,20.22,-110537
53,4,25.16,-124676
53,5,30.16,-138101
53,6,35.16,-150680
53,7,40.09,-162635
53,8,45.09,-173934
53,9,50.09,-184591
53,10,55.13,-194588
53,11,60.13,-204049
53,12,65.19,-212926
53,13,70.25,-221267
53,14,75.31,-229127
54,0,5.22,-216028
54,1,10.22,-234142
54,2,15.22,-251230
54,3,20.22,-267412
54,4,25.16,-282586
54,5,30.16,-297066
54,6,35.16,-310576
54,7,40.09,-323490
54,8,45.09,-335739
54,9,50.09,-347273
54,10,55.13,-358178
54,11,60.13,-368496
54,12,65.19,-378196
54,13,70.25,-387386
54,14,75.31,-396023
55,0,5.22,-71072
55,1,10.22,-87677
55,2,15.22,-103386
55,3,20.22,-118253
55,4,25.16,-132175
55,5,30.16,-145379
55,6,35.16,-157681
55,7,40.09,-169249
55,8,45.09,-180260
55,9,50.09,-190776
55,10,55.13,-200720
55,11,60.13,-210027
55,12,65.19,-218807
55,13,70.25,-227048
55,14,75.31,-234870
56,0,5.22,613825
56,1,10.22,599303
56,2,15.22,585560
56,3,20.22,572599
56,4,25.16,560557
56,5,30.16,549016
56,6,35.16,538373
56,7,40.09,528331
56,8,45.09,518821
56,9,50.09,509963
56,10,55.13,501668
56,11,60.13,493840
56,12,65.19,486597
56,13,70.25,479808
56,14,75.31,473434
57,0,5.22,-368884
57,1,10.22,-386464
57,2,15.22,-403153
57,3,20.22,-419032
57,4,25.16,-433854
57,5,30.16,-448076
57,6,35.16,-461309
57,7,40.09,-473971
57,8,45.09,-485953
57,9,50.09,-497267
57,10,55.13,-507900
57,11,60.13,-517958
57,12,65.19,-527430
57,13,70.25,-536321
57,14,75.31,-544753
58,0,5.22,60354
58,1,10.22,43612
58,2,15.22,27550
58,3,20.22,12353
58,4,25.16,-1921
58,5,30.16,-15548
58,6,35.16,-28212
58,7,40.09,-40312
58,8,45.09,-51729
58,9,50.09,-62161
58,10,55.13,-72624
58,11,60.13,-82170
58,12,65.19,-91160
58,13,70.25,-99597
58,14,75.31,-107557
59,0,5.22,280405
59,1,10.22,263534
59,2,15.22,247638
59,3,20.22,232533
59,4,25.16,218356
59,5,30.16,204877
59,6,35.16,192258
59,7,40.09,180295
59,8,45.09,169014
59,9,50.09,158433
59,10,55.13,148499
59,11,60.13,139169
59,12,65.19,130376
59,13,70.25,122154
59,14,75.31,114391
60,0,5.22,516615
60,1,10.22,501913
60,2,15.22,488001
60,3,20.22,474910
60,4,25.16,462657
60,5,30.16,451007
60,6,35.16,440192
60,7,40.09,430020
60,8,45.09,420446
60,9,50.09,411485
60,10,55.13,403023
60,11,60.13,395143
60,12,65.19,387799
60,13,70.25,380901
60,14,75.31,374469
61,0,5.38,12025
61,1,10.44,-4217
61,2,15.38,-19618
61,3,20.38,-34215
61,4,25.31,-47905
61,5,30.31,-60759
61,6,35.31,-73060
61,7,40.25,-84571
61,8,45.25,-95431
61,9,50.25,-105605
61,10,55.25,-115209
61,11,60.25,-124208
61,12,65.31,-132624
61,13,70.38,-140505
61,14,75.44,-147956
62,0,5.38,305387
62,1,10.44,289311
62,2,15.38,274113
62,3,20.38,259707
62,4,25.31,246235
62,5,30.31,233404
62,6,35.31,221449
62,7,40.25,210178
62,8,45.25,199495
62,9,50.25,189499
62,10,55.25,180119
62,11,60.25,171239
62,12,65.31,162965
62,13,70.38,155213
62,14,75.44,147864
63,0,5.38,411946
63,1,10.44,396763
63,2,15.38,382435
63,3,20.38,368900
63,4,25.31,356240
63,5,30.31,344184
63,6,35.31,333004
63,7,40.25,322442
63,8,45.25,312480
63,9,50.25,303164
63,10,55.25,294407
63,11,60.25,286197
63,12,65.31,278502
63,13,70.38,271344
63,14,75.44,264629
64,0,5.38,144609
64,1,10.44,128749
64,2,15.38,113805
64,3,20.38,99741
64,4,25.31,86561
64,5,30.31,74045
64,6,35.31,62172
64,7,40.25,51436
64,8,45.25,41072
64,9,50.25,31365
64,10,55.25,22245
64,11,60.25,13699
64,12,65.31,5736
64,13,70.38,-1817
64,14,75.44,-8857
